LARGE TITLE,METRIC DESCRIPTION,Additional notes e.g. units,,,,,,,,,,,,,,DATA SOURCE,,,,,,
,,,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,Region/ Country,Name,URL,NOTE,,,,
eCapacity Performance,Number of S & C corps incorporated/year,,,,,,,,,,,,,,,,,,,,,
eCapacity People*,Total Early Stage Entrepreneurship, Percentage of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business,,,,,,,,,,,,,,,,,,,,
eCap Funding,Venture Capital Investments in Region/year,Million USD,,,,,,,,,,,,,,,,,,,,
eCapacity Policy,Number of days to start a business,,74,74,67,42,19,19,20,20,20,20,20.5,20.5,Saudi Arabia,World Bank - WDI,http://databank.worldbank.org/data/,,,,,
eCapacity Demand,GDP/capita,"GDP per capita, US$ current PPP, current prices",9186.310388,10756.01622,13273.71255,14826.9167,15947.40579,19436.85716,15655.08337,18753.98123,23256.09561,24883.18971,24646.02087,24160.95854,Saudi Arabia,World Bank - WDI,http://databank.worldbank.org/data/,,,,,
Custom Metrics,Number of New University Spin Offs/ year,,,,,,,,,,,,,,,,,,,,,
,Dollars Invested in University Startups (USD)/year,,,,,,,,,,,,,,,,,,,,,
,Doctoral Graduation Rates/year,"Graduation rates at doctorate level, As a percentage of population in the reference age cohort",,,,,,,,,,,,,,,,,,,,
,Number of  health-related graduates/year,,,,,,,,,,,,,,,,,,,,,
,Number of  high-tech jobs created/ year ,,,,,,,,,,,,,,,,,,,,,
,Total Employment/ year,Person in Millions,,,,,,,,,,,,,,,,,,,,
,Employment by foreign-owned firms/ year ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
LARGE TITLE,METRIC DESCRIPTION,Additional Notes e.g. units,Value (e.g. name or figure),Additional Value (e.g. url or description),Additional Value (e.g. url or description),Additional Value (e.g. url or description),,,,,,,,,,,,,DATA SOURCE,,,
,,,,,,,,,,,,,,,,,,Region/ Country,Name,URL,NOTE,
Region Name,Name of region,,"Al Madinah, Saudi Arabia",,,,,,,,,,,,,,,,,,,
Region Description,Description of Current Regional Entrepreneurial Ecosystem,,,,,,,,,,,,,,,,,,,,,
,Land Area,sq km,,,,,,,,,,,,,,,,,,,,
Must Win Battle,"Regional MIT REAP ""Must Win Battle""",As defined by reap team,,,,,,,,,,,,,,,,,,,,
Clusters,Top 3 industry clusters,,,,,,,,,,,,,,,,,,,,,
Industry cluster,,,,,,,,,,,,,,,,,,,,,,
Industry cluster,,,,,,,,,,,,,,,,,,,,,,
Industry cluster,,,,,,,,,,,,,,,,,,,,,,
iCapacity Infrastructure,Top 3 research institutions - include URL of logo/photos and URL of website,,,,,,,,,,,,,,,,,,,,,
Research institute,,,,,,,,,,,,,,,,,,,,,,
Research institute,,,,,,,,,,,,,,,,,,,,,,
Research institute,,,,,,,,,,,,,,,,,,,,,,
Research institute,,,,,,,,,,,,,,,,,,,,,,
iCapacity Incentives,Celebrated Regional Innovation - include URL of logo and URL of website,"As defined by reap team- 1 from the past, 1 recent",,,,,,,,,,,,,,,,,,,,
Regional innovation,,,,,,,,,,,,,,,,,,,,,,
Regional innovation,,,,,,,,,,,,,,,,,,,,,,
Regional innovation,,,,,,,,,,,,,,,,,,,,,,
eCapacity Infrastructure,"Top 3 business parks, innovation hubs or accelerators - include URL of logo and URL of website",,,,,,,,,,,,,,,,,,,,,
"Business park, innovation hub or accelerator",,,,,,,,,,,,,,,,,,,,,,
"Business park, innovation hub or accelerator",,,,,,,,,,,,,,,,,,,,,,
"Business park, innovation hub or accelerator",,,,,,,,,,,,,,,,,,,,,,
eCapacity Incentives,Celebrated Regional Entrepreneur - include URL of photo,,,,,,,,,,,,,,,,,,,,,
Regional Entreprenur,,,,,,,,,,,,,,,,,,,,,,
Regional Entreprenur,,,,,,,,,,,,,,,,,,,,,,
Regional Entreprenur,,,,,,,,,,,,,,,,,,,,,,
PPI (Programmatic & policy interventions),,,,,,,,,,,,,,,,,,,,,,
Name of existing icap PPI in region,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
Name of existing icap PPI in region,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
Name of existing icap PPI in region,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
Name of existing icap PPI in region,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
Name of existing ecap PPI in region,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
Name of existing ecap PPI in region,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
Name of existing ecap PPI in region,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
REAP Initiative,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
REAP Initiative,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
REAP initiative,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
Team members basic info,You can add additional rows if required,,,,,,,,,,,,,,,,,,,,,
Team member - entrepreneur,,,Ahmed S. Awadi,"VP Innovation, Namaa Almunawara.(Corporate) Entrepreneur with expertise in Retail and Property Commercial Management that spans. Brand & Identity Design & Strategy, Sales Management, Training, and Architecture.",ahmed-awadi.jpg,,,,,,,,,,,,,,,,,
Team member - entrepreneur,,,Yousef A. Raffa,"VP Commercial, Namaa Almunawara.With over a decade of IT and technical background in one of the top share-holding international corporates in Saudi Arabia, in addition to working also for the biggest data center and data service provider (DSP) in the Middle-East, such experience has crafted and shaped the base and structure of my technicalities.Starting my own business gave me a totally new dimension by focusing on branding, marketing, business development, team management, as well as financing.I'm now the Vice President of Namaa Al Munawara for Operations focusing on building an entrepreneurial ecosystem in the region.",yousef-raffa.jpg,,,,,,,,,,,,,,,,,
Team member - university,,,Dr. Nabeel Khoshak ,"VP, Business and Innovation.Nabeel Koshak is the Vice President for Business & Innovation of Umm Al-Qura University (UQU), Makkah, Saudi Arabia. He is the Vice Chairman of Makkah Techno Valley Company. Koshak is the Director of KACST GIS Technology Innovation Center at UQU. Nabeel is the General Supervisor of Innovation and Entrepreneurship Institute at UQU. He is the Chairman of Board of Directors of Transportation and Crowd Management Center of Research Excellence. Koshak is the former Director of Center of Research Excellence in Hajj & Umrah. He is an Associate Professor and the Founder and former Director of the Design and Planning Support Systems (DPSS) Research Unit, Department of Urban and Engineering Research, Hajj Research Center, UQU, Saudi Arabia. Koshak teaches courses at the College of Engineering and Islamic Architecture, UQU. He joined Umm Al-Qura's faculty in May 2002. His research, teaching, innovation and business interests focus on computing in architecture and urban design/planning, including Computer Aided Design (CAD), Building Information Modeling (BIM), Geographic Information Systems (GIS), and Computer Aided Facilities Management (CAFM).Koshak received a Bachelor of Architectural Engineering from Umm Al-Qura University in 1993, a Master of Architecture (Computing in Design and Planning) from the University of Colorado in 1997, and a PhD in Computational Design from the School of Architecture, Carnegie Mellon University in 2002. As an entrepreneur, Koshak is the Founder and former Chief Executive Officer (CEO) of CAD & GIS Co., Ltd, Digital Models Co., Ltd., and Digital Perspective Co., Ltd. CG, DM, and DP are leading companies in providing solutions, professional services, consulting, and training on CAD, GIS, and CAFM. Partners are ESRI, Autodesk, and ARCHIBUS.",nabeel-k.jpg,,,,,,,,,,,,,,,,,
Team member - university,,,Dr. Mahmood Alharbe,"Professor, Taibah University.Dr. Mahmood is the Head of the Computer Science department at Taibah University.  He earned his PhD in Computer Since from De Montfort University and his master degree from University of Essex.",mahmood-a.jpg,,,,,,,,,,,,,,,,,
Team member - corporate,,,Jammal Alakkad,"Senior Consultant, ARAMCO, Entrepreneurship Center. After an exciting and challenging decade as an entrepreneur in the mid of 1980’s to mid of 1990_s, Jamal took different paths working on several interesting and challenging assignments. However, Jamal decided to go back to entrepreneurship but in a different flavor! Jamal, currently, participates in the process of promoting a healthier entrepreneurship ecosystem in the Kingdom of Saudi Arabia.Jamal studied at the King Fahd University of Petroleum and Minerals (KFUPM) in Dhahran Saudi Arabia where he obtained his BSc. in Industrial Management and at the University of Liverpool in the United Kingdom where he obtained his MBA (1st Hon). Currently, Jamal is pursuing his Doctorate in Business Administration at Durham University Business School in the United Kingdom.Jamal also assumes a senior leadership position within the Saudi ARAMCO Company.",jammal-a.jpg,,,,,,,,,,,,,,,,,
Team member - risk capital,,,Abdullah Al-Rakhis,"Abdullah Al-Rakhis is the founder and chairman of the board of trustees of the North Development Program Endowment NDP, a quasi NGO established in 1998 in Saudi Arabia active in the development of leadership, entrepreneurship and mega-developmental initiatives across Saudi Arabia and he is the executive chairman of The Saudi Arabian Alalia Entrepreneurial Ecosystem Program.  Mr. Al-Rakhis is a member of the International Advisory Board of Oxford University, a fellow at Aspen Institute and He was a Fellow at the Harvard Kennedy School Mossavar-Rahmani Center for Business and Government. He is the founder and chairman of RAKISA Holding and AR1 private equity where he was active in mega green field telecom and infrastructure projects and partnerships including the establishment of MTC Zain Africa Telecom which has been acquired by Bharti Airtel for $10.7 billion.  He is a civil engineer and has an MBA from Wharton business school, AMP from Harvard Business School, diploma in organizational development and leadership from Oxford University and master of project management from PMI and MIT and he is a DPhil (PhD) student at Hartford college, Oxford University. Mr Alrakhis is a trustee and board member of several organizations, universities and companies.",abdullah-rakhis.jpg,,,,,,,,,,,,,,,,,
Team member - government,,,Osama M. Ashri,"VP Strategy, Namaa AlmunawaraOsama M. Ashri serves as Vice President of Strategy at Namaa Almunawara, a quasi-government organization that catalyzes the entrepreneurial ecosystem of Almadina Almunawara province. He also spearheads the Saudi Entrepreneurial Ecosystem Lab (SEE-LAB), which aims at fostering entrepreneurship in Saudi Arabia through collaborative efforts. While pursing his MBA, Osama was immersed in Boston’s vibrant startup scene and worked as a project manager at the I2 Institute for Imagination and Ingenuity, an ecosystem platform for scientists, technologists, and engineers.In addition to his passion for stimulating entrepreneurship ecosystems, Osama led many seminars on leading change, lectured on leadership at the Center for Leadership Development at the University of North Carolina and is an adjunct lecturer on systems thinking and practice at a local university. Osama has received many awards, including “Total Leader”, “Master Leader” from the University of North Carolina, Employee of the Year from the Saudi Royal Aircraft Division, the Babson Charley Osborn MIS Award and was a finalist for the Babson MBA Entrepreneurship Award. He earned an MBA from Babson College, a BA in Systems Practice (First Class Honors) and an undergraduate degree in Avionics Technology (Summa Cum Laude). In addition, Osama participated in executive education and professional development programs at Harvard Business School, MIT Sloan School of Management and Stanford University.",osama-ashri.jpg,,,,,,,,,,,,,,,,,
Team member - champion,,,Ahmad A. Mahayri,"CEO, Namaa AlmunawaraThroughout his career, Ahmad has been involved in several SME and Venture Capital engagements, including co-founding, managing, and advising SME firms.Ahmad earned his MBA at Oxford University, and attended the Private Equity and Venture Capital program at Harvard Business School.Participated in establishing Namaa Al Munawara from the idea phase to the execution and realization. Namma Al Munawara is the economic and social engine & catalyst in Al Madina Al Munawara Province. It established the following projects: (1) Al Munawara Industrail Parks, (2) Al Munawara Retail Oasis, (3) Al Munawra One-Stop-Shop for Gov't services, (4) Inoovation and Design Labs for Female & (5) Madina Made promotion program.Previously participated in the establishment of LMC Investments as the Vice President position of its early-stage VC arm for 6 years where he managed a portfolio of 4 start-ups along with a supervisory role on the real estate portfolios. He holds board and EC seats in the various portfolio companies.In 2005, Ahmad participated in The IV Leadership Program in USA in 2005, The program is sponsored by US Department of State. The Program has in its alumni [290+ current and former Chiefs of State and Heads of Government, 2,000+ cabinet-level ministers].Member of the executive committee of the SME council of JCCI.Member of the executive committee of the Saudi Management Association. Member of the trustees board of the Al Munawara Endowment.",ahmad-mahayri.jpg,,,,,,,,,,,,,,,,,
Team member,,,,,,,,,,,,,,,,,,,,,,
Team member,,,,,,,,,,,,,,,,,,,,,,
Team member,,,,,,,,,,,,,,,,,,,,,,
Team member,,,,,,,,,,,,,,,,,,,,,,
Team member,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,
This data will be displayed on the REAP website on your regional dashboard. ,,,,,,,,,,,,,,,,,,,,,,
"In column U, please indicate whether the data refers to the region or the country",,,,,,,,,,,,,,,,,,,,,,
Please fil in the missing data to the best of your ability with region-specifc data (not country data) - save as a separate file and save in dropbox folder,,,,,,,,,,,,,,,,,,,,,,
Please provide data for as many years as possible,,,,,,,,,,,,,,,,,,,,,,
REAP Index to be calculated by MIT team (data to be collected is outlined in the following tab- REAP Index) ,,,,,,,,,,,,,,,,,,,,,,
Please include a data source in columns V and W,,,,,,,,,,,,,,,,,,,,,,
Please add custom metrics that you would like to display on the dashboard to rows 20+,,,,,,,,,,,,,,,,,,,,,,
Please note that the 2nd section below the red line requires subjective information that should be produced by the REAP team,,,,,,,,,,,,,,,,,,,,,,
Rename this spreadsheet as your region name,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
