LARGE TITLE,METRIC DESCRIPTION,Additional notes e.g. units,,,,,,,,,,,,,,DATA SOURCE,,,,,,
,,,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,Region/ Country,Name,URL,NOTE,,,,
Team member - entrepreneur,,,Mr. Rathapol Bhakdibhumi,"President and CEO, General Electronic Commerce Services Co., Ltd.Mr. Rathapol is a President & CEO at General Electronic Commerce Services (GEC), the company that he helped forming as a joint ventured with General Electric Information Services (GEIS), a subsidiary of General Electric, USA (GE later divested GEIS to a Venture Capital company). He is responsible to recommend company's business direction to the Board of Director, motivate employees, drive necessary changes, and coaching talents. The company has been providing Supply Chain Management applications as a service to Retail, Manufacturer, Petro-chemical, and Banking sector. Furthermore, Mr. Rathapol is also serving as a Chairman of a subsidiary of GEC, DX-Innovation Co., Ltd., whose main business is to provide Transport Management Solution (TMS) to Logistics Company and the owner of e-Market place for carriers and shippers to meet online, actively advising overall company's business development. In year 2014, Mr. Rathapol was appointed to be a director for State Enterprise at CAT Telecom PCL., Thai Airways International PCL. and Thailand Post Co., Ltd, including a board in subcommittee in Reform Committee, Audit Committee, Corporate governance and Corporate Social Responsibility Committee, Human Resources Committee and Compensation Committee.Mr. Rathapol holds a Bachelor of Sciences in Mechanical Engineering from University of Colorado, Boulder, USA in 1989. Then, he received a Master of Business Administration majoring in Marketing and International Business from Sasin Graduate Institute of Business Administration, Thailand in 1992, before obtaining his Executive Master in International Logistics and Supply Chain Strategy from Georgia Institute of Technology, USA in 2012.",rathapol-b.jpg,,,,,,,,,,,,,,,,,
Team member - university,,,Dr. Rawida  Wiriyakitjar,"Acting Dean, College of Entrepreneurship, University of the Thai Chamber of Commerce (UTCC).Dr.Rawida is the acting dean of College of Entrepreneurship at university of the Thai Chamber of Commerce (UTCC). She is also the director of Bachelor of Business Administration program in Entrepreneurship at UTCC. Dr.Rawida completed her Bachelor of Business Administration in Hotel and Tourism Management (First Class Honor). After that, she obtained a Master degree in International Hotel Management from University of Surrey, the UK before doing her Ph.D. in Entrepreneurship and Family Business at University of Central Lancashire, the UK. Dr.Rawida was entrusted to hold many management positions at UTCC such as Assistant to Director of Family Business Study Center, Associate Dean of Graduate School, Secretary of Family Business and SMEs Study Center Research Group and Training & Consultant Center and so on. Dr.Rawida is very keen to promote and develop new generation of entrepreneurs to establish innovation-driven business to ensure their long-term success through numerous activities with both business and academic sectors.",rawida-w.jpg,,,,,,,,,,,,,,,,,
Team member - university,,,Assistant Professor Dr. Weerachart Kilenthong,"Director of Research Institute for Policy Evaluation and Design, University of the Thai Chamber of Commerce (UTCC).Assistant Professor Dr. Weerachart is the director of Research Institute for Policy Evaluation and Design, University of the Thai Chamber of Commerce (UTCC). Assistant Professor Dr. Weerachart obtained Bachelor of Engineering in Civil Engineering (First Class Honor) from Chulalongkorn University, Thailand.  Then he did his Master of Science in physics from Chulalongkorn University and Master of Arts in Economics from University of Chicago before obtaining his Ph.D. in Economics from University of Chicago. Before joining UTCC, he was an assistant professor at University of California Santa Babara for 4 years. After joining UTCC as a faculty member, he was selected to be a consultant to the World Bank for 2 years. Assistant Professor Dr. Weerachart enjoys conducting his researches on Macroeconomics as he has a strong intention to help the policy makers in Thailand to implement the right policy to improve the lives of people in the society.",weerachart-k.jpg,,,,,,,,,,,,,,,,,
Team member - corporate,,,Mrs. Amporn Kanjanakumnerd,"Chief Operating Officer (COO), Mitr Phol Sugar Company.Mrs. Amporn Kanjanakumnerd currently is Chief Operating Officer (COO) of Mitr Phol Sugar Company. Mitr Phol Sugar Group has been distinguished as one of Thailand's largest and most progressive producers and exporters of sugar for more than 55 years, during which time it has played a leading role in developing Thailand's domestic sugar industry. In addition, Mitr Phol has taken significant steps into the international marketplace including investments in China, ASEAN and Australia.She earned her Bachelor's degree in finance and banking from Assumption University, Thailand in 1986 and graduated her Master in Management from Notre Dame de Namur University, USA in 1988. Mrs. Kanjankumnerd started her career in 1988 in the Sugar Division of Mitr Phol before she was entrusted by the Group to diversify into Panel business in 1996 where in a space of ten years she set up Panel Plus, producer of Particle Board and Medium density Fiberboard. Today Panel Plus is one of the largest and most reputable manufacturers of Laminates Chipboard in South East Asia. In 2011 she was transferred back to Mitr Phol sugar where she is working towards her vision of making Mitr Sugar the number one brand of Sugar in South East Asia.  Currently, she is responsible for the six Sugar Mills located all across the country, 104 million tons of cane farming plus domestic and international marketing. Mrs. Kanjankumnerd is a widely recognized in the business circle in Thailand and she sits on the Boards of numerous other companies. She is also a member of the YPO-Young President Organization, Thailand Chapter.",amporn-k.jpg,,,,,,,,,,,,,,,,,
Team member - government,,,Dr. Ekniti Nitithanprapas,"Director-General of State Enterprise Policy Office, Ministry of Finance.Chairman of the Executive Board of Director, Exim Bank of Thailand.Dr.Ekniti is Deputy Director-General and Spokesman of the Fiscal Policy Office, Ministry of Finance of Thailand. He is also Chairman of the Executive Board of Directors at the Export-Import (EXIM) Bank of Thailand and a member of the Board of Directors at Krungthai Asset Management Public Company Ltd and Thailand Securities Finance Corporation. He was Minister (Economics and Financial Affairs for U.K. and Europe) at the Royal Thai Embassy in London during 2010-2012. Previously, he was Executive Director of the Macroeconomic Policy Bureau and the Spokesman of the Thai Finance Ministry. Aside from his extensive experiences at the Ministry of Finance, he was a Senior Advisor to Executive Director for Southeast Asia at the World Bank, Washington D.C.Dr.Ekniti holds a B.A. (honors) in Economics from Thammasat University in Thailand, a M.S. in Policy Economics from University of Illinois at Urbana-Champaign and a Ph.D in Economics from Claremont Graduate University in U.S.A.Dr.Ekniti has several publications in academic journals and books, such as ‘the Asian Crises Reexamined’ (2004) published in the MIT Press Journals of Asian Economic Papers and the book on ‘Domino Effects: Solutions for Thailand amid the Global Financial Crises’ (2009). In 2009, He received the “Rising-Star Economist of the Year” Award in Thailand.",ekniti-n.jpg,,,,,,,,,,,,,,,,,
Team member - risk capital,,,Mr. Chan Bulakul,"CEO, the Brooker Group PLC.Mr. Chan Bulakul's father, Mah Bulakul is a well-known reputable tycoon in rice business early 1940 and generous commitment to society (CSR - corporate social responsibility). He was the 12th Chairman of Thai - Chinese Chamber of Commerce which was the most prestigious association during that time. All of family members have inherited this entrepreneurship and CSR philosophy.  Mr.Chan attended his primary and secondary education in Hong Kong, and graduated from University of Illinois, and became International Associate of AICPA. As a 3rd generation of Overseas Chinese, at the age of 26 years old, Chan as CFO of family business which includes shipping, rice milling, silo, and real estate ( Mah Boonkrong Shopping Center ). He negotiated to borrow USD 15 million syndicate loans for the flagship company (MBK Silo) then the Company was listed in The Stock Exchange of Thailand and raised USD 20 million in IPO to repay loan in 2 years. He was the pioneer in early 70 to promote foreign investment in Thailand stock market. After the 1997 financial meltdown (Baht devaluation) in Thailand, he applied his experiences and knowledge to learn, digest, and applied in the debt restructuring negotiation and fund raising. He managed to restructure over USD 3 billion of debt and save many companies from bankruptcy. His major client included real estate, telecommunication, and heavy industries. He also brought new investors to fund the restructuring, as a result both owner and creditor recovered significant portion of their value. He has assisted owner to use new features in Thai stock market such as warrant, convertible bond and steep discount right issues.Forbes Asia has also awarded The Brooker Group ""200 Best Under A Billion"" in Asia-Pacific in the year 2011 for the success in operating three consecutive years of outstanding financial performance based on earnings growth, sales growth and return on equity (in the past 12 months and over 3 years). There were altogether 15,000 listed companies in Asia for this selection.",chan-b.jpg,,,,,,,,,,,,,,,,,
Team member - champion,,,Associate Professor Dr.Sauwanee Thairungroj,"President, University of the Thai Chamber of Commerce Associate Professor Dr. Sauwanee Thairungroj is the president of university of the Thai Chamber of Commerce (UTCC) , which is one of the leading universities in Thailand. The university is well-developed with a strong focus on business studies, particularly in entrepreneurship area. Moreover, the university have a close relationship with the Thai Chamber of Commerce, which makes it possible to access to a large number of academic and business resources. She is very keen to push new movements and promote innovation to the business community in Thailand in order to develop Thai economy for the new changing business environment after the implementation of ASEAN Economic Community (AEC).Dr. Sauwanee received her Ph.D. in Economics from Washington State University. During her Ph.D. study, she was a recipient of Fulbright scholarship. Before doing her Ph.D., she did her Master degree in Economics from National Institute of Development Administration (NIDA) and Bachelor Degree in Economics from Thammasart University.  She also participated in Advance Management Program (AMP) at Harvard Business School and joined Entrepreneur Development Program at Sloan School of Management, MIT.Her previous professional experiences include the Governor of Stock Exchange of Thailand (SET), a member of Financial Institutions Policy Committee (FIPC) at the Bank of Thailand, and the director of University of Chicago - University of the Thai Chamber of Commerce Research Center. Her work has won numerous awards such as Business Women of the Year Award in 2012 from the Thai Chamber of Commerce, the most outstanding alumni awards from Washington State University, Thammasart University, and National Institute of Development Administration (NIDA).",sauwanee-t.jpg,,,,,,,,,,,,,,,,,
Team member - university,,,Assistant Professor Dr. Thanavath Phonvichai,"Vice President for Research Affairs and Director of Center for Economic and Business ForecastingUniversity of the Thai Chamber of Commerce (UTCC)Advisor to Deputy Secretary-General to the Prime Minister for Economic AffairsAssistant Professor Dr. Thanavath is the Vice President for Research and Director of Center for Economic and Business Forecasting at university of the Thai Chamber of Commerce (UTCC). Beside his fulltime work at UTCC, he is invited to be a guest speaker for many government offices and national media and news. Recently, he is assigned as Advisor to Deputy Secretary-General to the Prime Minister for Economic Affairs.Assistant Professor Dr. Thanavath holds a Ph.D. in Applied Statistics and Research Methods from University of Northern Colorado, USA. Before that, he did his Master Degree in Economic Development (Honor) from National Institute of Development Administration (NIDA) and Bachelor of Economics (Merit) from Ramkhamheang University. Before joining UTCC as a faculty member, Assistant Professor Dr. Thanavath was entrusted to be a committee and advisors to many organizations such as Federation of Thai Industries, The Thai Chamber of Commerce and so on.Assistant Professor Dr. Thanavath is actively conducting researches to help the business sector in Thailand to adapt themselves for the changing business and social environment.",thanavath-p.jpg,,,,,,,,,,,,,,,,,
Team member - university,,,Dr. Thitapon Ousawat,"University of the Thai Chamber of Commerce.2 Years experience in designing and implementing new processes to improve productivity and customer service as well as 1 year as a credit analyst for residential real estate projects. Result-oriented person with positive attitude, high integrity, and resourcefulness. Enjoys analyzing business situations and developing business decision models.",,,,,,,,,,,,,,,,,,
Team member,,,,,,,,,,,,,,,,,,,,,,
Team member,,,,,,,,,,,,,,,,,,,,,,
Team member,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,
This data will be displayed on the REAP website on your regional dashboard. ,,,,,,,,,,,,,,,,,,,,,,
"In column U, please indicate whether the data refers to the region or the country",,,,,,,,,,,,,,,,,,,,,,
Please fil in the missing data to the best of your ability with region-specifc data (not country data) - save as a separate file and save in dropbox folder,,,,,,,,,,,,,,,,,,,,,,
Please provide data for as many years as possible,,,,,,,,,,,,,,,,,,,,,,
REAP Index to be calculated by MIT team (data to be collected is outlined in the following tab- REAP Index) ,,,,,,,,,,,,,,,,,,,,,,
Please include a data source in columns V and W,,,,,,,,,,,,,,,,,,,,,,
Please add custom metrics that you would like to display on the dashboard to rows 20+,,,,,,,,,,,,,,,,,,,,,,
Please note that the 2nd section below the red line requires subjective information that should be produced by the REAP team,,,,,,,,,,,,,,,,,,,,,,
Rename this spreadsheet as your region name,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
