LARGE TITLE,METRIC DESCRIPTION,Additional notes e.g. units,,,,,,,,,,,,,,,,,DATA SOURCE,,,
,,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,Region/ Country,Name,URL,NOTE,
LARGE TITLE,METRIC DESCRIPTION,Additional Notes e.g. units,Value (e.g. name or figure),Additional Value (e.g. url or description),Additional Value (e.g. url or description),Additional Value (e.g. url or description),,,,,,,,,,,,,DATA SOURCE,,,
,,,,,,,,,,,,,,,,,,Region/ Country,Name,URL,NOTE,
Region Name,Name of region,,Morocco,,,,,,,,,,,,,,,,,,,
Region Description,Description of Current Regional Entrepreneurial Ecosystem,,,,,,,,,,,,,,,,,,,,,
,Land Area,sq km,446300,,,,,,,,,,,,,,,Morocco,World Bank - WDI,http://databank.worldbank.org/data/,"Select Databases > World Development Indicators > then for the ""Series"", select ""Land area""",
Must Win Battle,"Regional MIT REAP ""Must Win Battle""",As defined by reap team,,,,,,,,,,,,,,,,,,,,
Clusters,Top 3 industry clusters,,,,,,,,,,,,,,,,,,,,,
Industry cluster,,,,,,,,,,,,,,,,,,,,,,
Industry cluster,,,,,,,,,,,,,,,,,,,,,,
Industry cluster,,,,,,,,,,,,,,,,,,,,,,
iCapacity Infrastructure,Top 3 research institutions - include URL of logo/photos and URL of website,,,,,,,,,,,,,,,,,,,,,
Research institute,,,,,,,,,,,,,,,,,,,,,,
Research institute,,,,,,,,,,,,,,,,,,,,,,
Research institute,,,,,,,,,,,,,,,,,,,,,,
iCapacity Incentives,Celebrated Regional Innovation - include URL of logo and URL of website,"As defined by reap team- 1 from the past, 1 recent",,,,,,,,,,,,,,,,,,,,
Regional innovation,,,,,,,,,,,,,,,,,,,,,,
Regional innovation,,,,,,,,,,,,,,,,,,,,,,
Regional innovation,,,,,,,,,,,,,,,,,,,,,,
eCapacity Infrastructure,"Top 3 business parks, innovation hubs or accelerators - include URL of logo and URL of website",,,,,,,,,,,,,,,,,,,,,
"Business park, innovation hub or accelerator",,,,,,,,,,,,,,,,,,,,,,
"Business park, innovation hub or accelerator",,,,,,,,,,,,,,,,,,,,,,
"Business park, innovation hub or accelerator",,,,,,,,,,,,,,,,,,,,,,
eCapacity Incentives,Celebrated Regional Entrepreneur - include URL of photo,,,,,,,,,,,,,,,,,,,,,
Regional Entreprenur,,,,,,,,,,,,,,,,,,,,,,
Regional Entreprenur,,,,,,,,,,,,,,,,,,,,,,
Regional Entreprenur,,,,,,,,,,,,,,,,,,,,,,
PPI (Programmatic & policy interventions),,,,,,,,,,,,,,,,,,,,,,
Name of existing icap PPI in region,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
Name of existing icap PPI in region,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
Name of existing icap PPI in region,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
Name of existing ecap PPI in region,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
Name of existing ecap PPI in region,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
Name of existing ecap PPI in region,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
REAP Initiative,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
REAP Initiative,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
REAP initiative,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
Team members basic info,You can add additional rows if required,,,,,,,,,,,,,,,,,,,,,
Team member - corporate,,,Outmane El Hassani,"REAP co-champion and Interim Director of OCP Entrepreneurship Network.Outmane is the Director in charge of the OCP Entrepreneurship Network, hosted by the OCP Foundation.He Graduated from HEC Business School in Belgium in 2003 as a Business Engineer and then from the University of Liege, Belgium where he completed a Master Degree in Entrepreneurship.After a first experience in Procurement, Outmane EL HASSANI worked about 10 years in various senior positions within the Belgian entrepreneurial Ecosystem. He managed 2 incubators in 6 different locations in Wallonia, the French speaking region in Belgium. He joined the OCP Foundation late 2013 to launch of the OCP Entrepreneurship Network.",outmane.jpg,,,,,,,,,,,,,,,,,
Team member - university,,,Janah Saadi,"Academic Director of University Mohamed VI PolytechnicBorn in 1954, He get a Ph.D in Science ""Automatic control"" from  (EMI) Rabat and ENSIEG Grenoble (France) in 1994, a 3rd cycle Doctorate degree in Automatic control from Nancy I University in 1980, He was a full Professor at The school of engineering ENSEM- University Hassan II Casablanca (UH2C) from 1986 to 2014. He was responsible for UFR DESA and Doctorate in Automatic control and Production. He Founded on 2006 the Laboratory of IT Systems and Renewable Energy at ENSEM (LISER) (Casablanca) and conducts research subjects on the topics of modeling, simulation, optimization and control of hybrid dynamical systems with applications to associations converters-machines, production systems and health care systems. He has also several works in the field of automatic failure diagnosis. He is interested in the fields of renewable energy, particularly solar, wind and fuel cell. He supervised a joined research project with industry associating Wind, Solar and Fuel Cell generators giving 3 patents in wind field. He has participated in the organization of several national and international scientific events. He is member of the scientific committee for several journals and national and international conferences. He had also coordinated 2 European Tempus projects in the fields of entrepreneurship (STIMU 2005-2008) and (OSMOSE 2010-2014) and participate to conception of many others.He was Director of ENSEM from November 2006 to July 2011 and Vice president of research and cooperation at University Cadi Ayyad- Marrakech from November 2011 to September 2013. He was in the same period Director of the incubator of Marrakech and supervised the project of innovation city at Cadi Ayyad University- Marrakech.He is actually the Academic Director of University Mohammed VI polytechnic since september 2014.",janah-saadi.jpg,,,,,,,,,,,,,,,,,
Team member - corporate,,,El Moutaoikkil El Baraka,"Executive Director, Northern RegionEl Moutaoikkil El Baraka joined the Group in 1988. Mr. El Baraka held various positions during his 26 years with the Group, including manager of maintenance and responsible for processing at the Khouribga mining site, logistics and improvement projects director and industry development director. He [was] also head of the task force in charge of the Group's Industrial Development Programme in 2007. Mr. El Baraka obtained a [degree] from the Ecole Mohammedia d'Ingenieurs in 1988.",el-baraka.jpg,,,,,,,,,,,,,,,,,
Team member - government,,,Youssef El Bari,"Advisor to the Minister of Industry, trade, investment and the Digital EconomyYoussef El Bari joined the Ministry of Industry, Morocco in April 2014. He acts as adviser to the minister and works on the industrial acceleration program 2014-2020. He worked for the OCP group between 2009 and 2014 where he spent 3 years as head of strategy, and 2 years as head of industrial innovation. Before Joining the OCP Group, He spent 5 years within the Air Liquide Group where he held several positions in the operations.",youssef-el-bari.jpg,,,,,,,,,,,,,,,,,
Team member - risk capital,,,,,,,,,,,,,,,,,,,,,,
Team member - entrepreneur,,,Redouane Agoudal,"CEO, Green EngineeringMr. Redouane Agoudal is a graduate of the Mohammedia School of Engineering, 2004. He holds a Master degree in creation, buyout, acquisition and business development from the Higher School of Trade, TOULOUSE, 2011. He also holds several International management certificates. He is among the first in Morocco to be certified ISO 50001 auditor for the implementation of energy management systems, a certification that is becoming increasingly important in a strategic context in which Morocco has been engagedMr. Redouane Agoudal is a serial entrepreneur and engineer expert in technical engineering and business management solutions. He worked as a representative of a French company in Morocco and Senegal, marketing and technical advisor for other foreign companies wishing to invest in Morocco. He is currently director and manager of the following companies: GREEN ENGINEERING (www.greenengineering.ma ), Open System Service (www.oss.ma ) ALLOBRICOLE (www.allobricole.ma ), Smart Business Service (www.sbsmaroc.ma) , GREEN CONTRACTORS, these companies are located in Rabat, Casablanca and Khouribga. Mr Redouane Agoudal is acting in the field of entrepreneurship since 2007. He currently leads a team of experts, engineers and technicians, which provide consulting and installation of technical engineering solutions to customers.The turnover expected in the year 2015 for these companies is about $ 3 million (an increase of over 500% from 2014) with over 70 employees.Mr Redouane Agoudal is also active in community life, he is a member of the club of Mohammedia School of Engineers entrepreneurs, treasurer of the Youth Association for Citizenship and sustainable development and vice treasurer of the Moroccan League for the defense of human Rights (Rabat region).",redouane-a.jpg,,,,,,,,,,,,,,,,,
Team member - corporate,,,Hasnaa Boutzil,"Chief of Procurement Office, OCP GroupHasnaa BOUTZIL is a chief of procurement office of OCP Group is. Prior to her current position, Ms. BOUTZIL was the Manager of Corporate Coordination and the Project Management Office at OCP Group. Before that, she was part of the CEO's cabinet, in charge of technical studies, and before that she was the.Hasnaa BOUTZIL has held a number of management positions in a OCP group since her integration in 1991 including, Environment Department Head, Chief of the Central Laboratory at CERPHOS (Casablanca), Head of the Planning and Programming Department at Safi, Head of the Quality Control Department at Safi, and Engineer responsible for production of sulfuric acid as her first position at OCP Group.She holds a degree in Engineering from the Mohammadia School of Engineers- Rabat and an MBA from Hassania School of Engineers - Casablanca",hasnaa-b.jpg,,,,,,,,,,,,,,,,,
Team member - entrepreneur,,,Youssef Chaqor,"CEO, KilimanjaroYoussef Chaqor is the founder and general manager of Kilimanjaro Environment, a regional leader in environmental innovation, operating in the collection and recycling of used cooking into biodiesel.Youssef studied industrial engineering at top Moroccan engineering university Ecole Mohammadia d'Ingenieurs. Upon graduating in 1998, he joined Unilever and held several positions there. After Unilever, he worked at Savola, a large Saudi Arabian edible oil company, first as a Sales Director and later as Deputy General Manager. During his time at both companies, Youssef deepened his knowledge of fast-moving consumer goods (FMCG) distribution channels and honed his logistics and sales skills.Youssef left Savola in 2008 to become a social entrepreneur. Concerned by the triple financial, food, and oil crises, he was drawn to second generation biofuel made from waste, rather than food products, which encouraged sustainable waste disposal and reduced pressure on food production. In early 2008, Youssef climbed Mt. Kilimanjaro and relished the triumph of persevering through doubt and difficulties. He soon founded Kilimanjaro Environment, hoping the name would carry over similar notions of commitment and drive. He immediately began collecting UCO for biodiesel producers, which he financed through freelance consulting on FMCG distribution, marketing, and sales. After several months, Youssef sold his first shipment of UCO to Italian company Projet Energy and struck up a strategic partnership early the next year with petrochemical aggregator AOT trading, a Swiss subsidiary of Astra Transcor Energy. This relationship quickly evolved and helped the company triple revenue in the first year alone.Kilimanjaro Environment is at the forefront of the green energy movement in Morocco. The company collects used cooking oil from restaurants and hotels, which it filters, treats, and resells to biodiesel manufacturers. It also resells fatty acid products to both biodiesel and feedstock production plants. Having recently launched a pilot biodiesel production plant, Kilimanjaro now also produces biodiesel in house. The company's process not only eliminates and treats waste, but also helps reduce CO2 emissions and find new ways to create clean energy.",youssef-c.jpg,,,,,,,,,,,,,,,,,
Team member - corporate,,,Fatiha Charradi,"CEO, OCP Innovation Fund For AgricultureAfter a first experience in the banking sector at Wafabank, Fatiha Charradi joined Alcatel in 2001 to promote Voice& Data solutions locally in Morocco and elsewhere. Then in 2005, she joined Altadis Group to develop and implement a diversification strategy based on Telecom capabilities and a wide distribution network through e-business services.In 2008, Mrs Fatiha Charradi joined OCP Group as responsible of a portfolio of agribusiness projects at the presidency.Mrs. Fatiha Charradi holds a Master of Business Administration  from ""Ecole Nationale des Ponts et Chaussees""-Paris in 2008,  a Certificate of an Executive Program from MIT 2013, a Certificate of Business Strategy from HEC Paris 2011. She is an engineer graduated from ""Ecole Mohammedia des Ingenieurs"" -Rabat in Information Technology in 2000.",fatiha-c.jpg,,,,,,,,,,,,,,,,,
Team member - corporate,,,Ghita Chraibi,"REAP co-champion and Head of Strategy and Partnerships of OCP Entrepreneurship Network, OCP Foundation.Ghita graduated from HEC Paris in 2004 and majored in Entrepreneurship. She joined OCP Foundation in December 2013 to launch OCP Entrepreneurship Network. Before that, she spent 4 years at Mutandis, an investment company where she held several management positions in various subsidiaries. She spent 11 years in Paris where she worked in two different medium-sized companies as right-arm to the CEOs. Ghita has always been passionate about entrepreneurship, and made it a key direction in her academic and professional choices.",ghita-c.jpg,,,,,,,,,,,,,,,,,
Team member - corporate,,,Nada Elmjadoub,"Industrial Development, OCP Group.Nada is currently in charge of the capex program for the central axis at OCP, before that she was working at the office of the Chairman and CEO till July 2014, and she's part of the OCP group since 2009. Prior to joining OCP, Nada was Deputy Project Manager at Alliance Wood Group Engineering where she provided guidance and support for all aspects of execution of multimillion dollars offshore engineering projects in the oil and gas sector. Before joining Alliance, she worked as a Mechanical Engineer at one of the world's premier engineering, procurement and construction management companies (JE). Nada holds a Master of Science in Mechanical Engineering from LSU and a Master of Science in Aeronautical Engineering from l'Ecole Nationale Superieure d'Ingenieurs en Constructions Aeronautiques (ENSICA) in Toulouse, France.",nada-e.jpg,,,,,,,,,,,,,,,,,
Team member - corporate,,,Saad Mikou,"Manager of Industrial Ecosystem Development, OCP GroupSaad Mikou received BS and MS degrees in electrical and Industrial engineering respectively in 1999 and 2002 from the University of ""Politecnica de Valencia - Spain"". He also did postgraduate studies and received an Executive MBA in 2005 at ESIC Business & Marketing School in Spain.Mr. Mikou has held, since 1999, multiples positions of increasing responsibility in Steel & Chemical companies in Spain in both Maintenance & Production Management and Technical Management. He joined OCP Group in 2008 in Procurement Department as Project Manager.  In 2010 he was transferred to Jacobs Engineering SA as Procurement Manager where he was in charge of supplying the whole CAPEX Program of Industrial North Axis but also different CAPEX Programs of Real Estate (OCP Social projects & M6 Polytechnic University). He is currently Manager of Industrial Ecosystem development at OCP Group and aims to support the development of strategic industrial sectors around the OCP Sites which constitute a sustainable and competitiveness lever of value creation for the local and national ecosystem.",saad-mikou.jpg,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Legend,,,,,,,,,,,,,,,,,,,,,,
1,To be completed by REAP team (mostly publicly available data),,,,,,,,,,,,,,,,,,,,,
3,May not be public,,,,,,,,,,,,,,,,,,,,,
*,Public data,,,,,,,,,,,,,,,,,,,,,
To be completed at workshop 3,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,
This data will be displayed on the REAP website on your regional dashboard. ,,,,,,,,,,,,,,,,,,,,,,
"In column U, please indicate whether the data refers to the region or the country",,,,,,,,,,,,,,,,,,,,,,
Please fil in the missing data to the best of your ability with region-specifc data (not country data) - save as a separate file and save in dropbox folder,,,,,,,,,,,,,,,,,,,,,,
Please provide data for as many years as possible,,,,,,,,,,,,,,,,,,,,,,
REAP Index to be calculated by MIT team (data to be collected is outlined in the following tab- REAP Index) ,,,,,,,,,,,,,,,,,,,,,,
Please include a data source in columns V and W,,,,,,,,,,,,,,,,,,,,,,
Please add custom metrics that you would like to display on the dashboard to rows 20+,,,,,,,,,,,,,,,,,,,,,,
Please note that the 2nd section below the red line requires subjective information that should be produced by the REAP team,,,,,,,,,,,,,,,,,,,,,,
Rename this spreadsheet as your region name,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
