LARGE TITLE,METRIC DESCRIPTION,Additional notes e.g. units,,,,,,,,,,,,,,DATA SOURCE,,,,,,
,,,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,Region/ Country,Name,URL,NOTE,,,,
iCapacity Demand,GDP/capita,"GDP per capita, US$ current PPP, current prices",21495.70741,24918.64584,26510.71745,28482.60948,32709.40104,35578.73619,32333.4661,30737.83227,31973.01908,28985.33333,29880.71284,30262.22563,Spain,World Bank - WDI,http://databank.worldbank.org/data/,"Select Databases > World Development Indicators > then for the ""Series"", select ""GDP per capita (current US$)""",,,,
eCapacity Performance,Number of S & C corps incorporated/year,,,,,,,,,,,,,,,,,,,,,
eCapacity People*,Total Early Stage Entrepreneurship, Percentage of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business,,,,,,,,,,,,,,,,,,,,
eCap Funding,Venture Capital Investments in Region/year,Million USD,459.7,843.41,229.47,1580.26,136.94,455.75,23.24,585.63,88.38,74.9,,,Spain,VentureXpert,www.venturexpert.com/,,,,,
eCapacity Policy,Number of days to start a business,,138,137,70,60,60,61,61,52,29,30,24,14,Spain,World Bank - WDI,http://databank.worldbank.org/data/,"Select Databases > World Development Indicators > then for the ""Series"", select ""Time required to start a business days)""",,,,
eCapacity Demand,GDP/capita,"GDP per capita, US$ current PPP, current prices",21495.70741,24918.64584,26510.71745,28482.60948,32709.40104,35578.73619,32333.4661,30737.83227,31973.01908,28985.33333,29880.71284,30262.22563,Spain,World Bank - WDI,http://databank.worldbank.org/data/,"Select Databases > World Development Indicators > then for the ""Series"", select ""GDP per capita (current US$)""",,,,
Custom Metrics,Number of New University Spin Offs/ year,,,,,,,,,,,,,,,,,,,,,
,Dollars Invested in University Startups (USD)/year,,,,,,,,,,,,,,,,,,,,,
,Doctoral Graduation Rates/year,"Graduation rates at doctorate level, As a percentage of population in the reference age cohort",,,,,,,,,,,,,,,,,,,,
,Number of  health-related graduates/year,,,,,,,,,,,,,,,,,,,,,
,Number of  high-tech jobs created/ year ,,,,,,,,,,,,,,,,,,,,,
,Total Employment/ year,Person in Millions,17423200,18018900,19207000,19939100,20579900,20469700,19106900,18724500,18421400,17632700,17139000,17344200,Spain,OECD,http://stats.oecd.org/,stats.oecd.org > Labout > Labour Force Statistics > Annual Labour Force Statistics > Population and Labour Force,,,,
,Employment by foreign-owned firms/ year ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
LARGE TITLE,METRIC DESCRIPTION,Additional Notes e.g. units,Value (e.g. name or figure),Additional Value (e.g. url or description),Additional Value (e.g. url or description),Additional Value (e.g. url or description),,,,,,,,,,,,,DATA SOURCE,,,
,,,,,,,,,,,,,,,,,,Region/ Country,Name,URL,NOTE,
Region Name,Name of region,,"Andalusia, Spain",,,,,,,,,,,,,,,,,,,
Region Description,Description of Current Regional Entrepreneurial Ecosystem,,,,,,,,,,,,,,,,,,,,,
,Land Area,sq km,,,,,,,,,,,,,,,,,,,,
Must Win Battle,"Regional MIT REAP ""Must Win Battle""",As defined by reap team,,,,,,,,,,,,,,,,,,,,
Clusters,Top 3 industry clusters,,,,,,,,,,,,,,,,,,,,,
Industry cluster,,,,,,,,,,,,,,,,,,,,,,
Industry cluster,,,,,,,,,,,,,,,,,,,,,,
Industry cluster,,,,,,,,,,,,,,,,,,,,,,
iCapacity Infrastructure,Top 3 research institutions - include URL of logo/photos and URL of website,,,,,,,,,,,,,,,,,,,,,
Research institute,,,,,,,,,,,,,,,,,,,,,,
Research institute,,,,,,,,,,,,,,,,,,,,,,
Research institute,,,,,,,,,,,,,,,,,,,,,,
iCapacity Incentives,Celebrated Regional Innovation - include URL of logo and URL of website,"As defined by reap team- 1 from the past, 1 recent",,,,,,,,,,,,,,,,,,,,
Regional innovation,,,,,,,,,,,,,,,,,,,,,,
Regional innovation,,,,,,,,,,,,,,,,,,,,,,
Regional innovation,,,,,,,,,,,,,,,,,,,,,,
eCapacity Infrastructure,"Top 3 business parks, innovation hubs or accelerators - include URL of logo and URL of website",,,,,,,,,,,,,,,,,,,,,
"Business park, innovation hub or accelerator",,,,,,,,,,,,,,,,,,,,,,
"Business park, innovation hub or accelerator",,,,,,,,,,,,,,,,,,,,,,
"Business park, innovation hub or accelerator",,,,,,,,,,,,,,,,,,,,,,
eCapacity Incentives,Celebrated Regional Entrepreneur - include URL of photo,,,,,,,,,,,,,,,,,,,,,
Regional Entreprenur,,,,,,,,,,,,,,,,,,,,,,
Regional Entreprenur,,,,,,,,,,,,,,,,,,,,,,
Regional Entreprenur,,,,,,,,,,,,,,,,,,,,,,
PPI (Programmatic & policy interventions),,,,,,,,,,,,,,,,,,,,,,
Name of existing icap PPI in region,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
Name of existing icap PPI in region,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
Name of existing icap PPI in region,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
Name of existing ecap PPI in region,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
Name of existing ecap PPI in region,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
Name of existing ecap PPI in region,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
REAP Initiative,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
REAP Initiative,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
REAP initiative,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
Team members basic info,You can add additional rows if required,,,,,,,,,,,,,,,,,,,,,
Team member,,,Lourdes N&uacute;&ntilde;ez M&uuml;ller,"Director of Knowledge Transfer at Granada Health Tech Park (PTS Granada). Lourdes Nunez Muller is the Director of Knowledge Transfer at the Granada Health Technology Park (PTS Granada). She received an MBA from IESE Business School and her B.S., M.S. and Ph.D. in Pharmacy from the University of Granada. She published a book in 2010 titled 'Clinical and Transactional Research, Through a Model' and has also published several scientific research and career development articles. Previously, Lourdes worked at Sanitas as the Manager of E-Health Services and Home Healthcare Division in Madrid. She relocated to Boston in a strategic product development and business development role, which made her critically involved in bringing new medical technologies to market at CH-Werfen Group. She was selected to work at the Dana-Farber Cancer Institute, one of the leading cancer research centers in the US. Dr. Muller worked there as a Biopharmaceutical Corporate Relations Liason, a new role funded by Novartis. She focused on early phase human clinical trials, tailoring a more productive clinical research portfolio strategy, sourcing innovations with biotech and pharmaceutical collaborators and improving operating efficiencies in the research program. Since 2006, Dr. Nunez Muller has worked in Spain as Director of Knowledge Transfer at PTS Granada. She is responsible for establishing PTS as a National Life Science Brand, fostering technology transfer/providing services for emerging companies, promoting interdisciplinary research in biomedicine at an international level in order to make medical advances through the understanding, diagnosis, treatment, cure and prevention of illnesses, and consolidating a health sciences business framework based on technology and aimed at clinical practice. Lourdes is can be contacted at via email at Lnunez@ptsgranada.com",,,,,,,,,,,,,,,,,,
Team member,,,Ram&oacute;n Gonz&aacute;lez Carvajal,"Tenured Professor and Vice President of Technology Transfer. Ram&oacute;n Gonz&aacute;lez Carvajal is a Professor of Electrical Engineering at the University of Seville. He received a BS, MS (1995) and PhD (1999) in Electrical Engineering from the University of Seville. At the University, he also serves as Vice-rector of Technology Transfer, General Manager of the Research Foundation and Coordinator of the Excellence TECH. He is the co-author of 10 patents, 5 of which are under contract with Seiko-Epson in Japan. He is also the co-founder of the company Adevice Solutions. Dr. Carvajal researches low voltage and low-power circuit design in nanometer scale technologies. He has published more than 300 academic papers and has participated in over 70 research projects funded by organizations including NASA, National Science Foundation, EPSRC, EUREKA the European Framework Program, and others. He has worked as a visiting professor at Texas A&amp;M University, New Mexico State University, The Imperial College of Engineering and Medicine in London, and University of Catania.",,,,,,,,,,,,,,,,,,
Team member,,,Juan Carrasco,"Co-founder of GPTech / Professor of Electronic Engineering. Juan M. Carrasco is a Full Professor at Seville University in the Department of Electronic Engineering. He received a M.S. (1989) and Ph.D. (1992) in industrial engineering from Seville University, Spain. He is originally from San Roque, Spain. His work developing power converters has been integral to the development of renewable energy technologies in Spain. Professor Carrasco has many years of experience working in the power electronics field. He was involved in many industrial applications for the design and development of power converters applied to renewable energy technologies. Currently, he is researching Smart Grids. He is focused on the integration of renewable energy sources through these Smart Grids. In 2002, Juan founded a tech company called GPtech (Insert Hyperlink: www.greenpower.es). Juan currently serves as President of GPtech. GPtech is a tech company that specializes in renewable energies, efficiency and energy saving. Currently the company&#39;s turnover is over $35M and its products are sold in North America, South America, Europe and Asia.",,,,,,,,,,,,,,,,,,
Team member,,,Javier Gutierrez Rumbao,"Innovation and Entrepreneurship Advisor. entrepreneurship consultant. He was previously the Director of Technology Analysis for the Regional Ministry of Economy, Innovation and Science for the government of Andulucia. He received a degree in industrial engineering from the University of Seville. He served as a management consultant for 8 years and has experience in multiple business industries. For the past two years, he built a new ICT engineering start-up. His current areas of interest include innovation, entrepreneurship and regional development.",,,,,,,,,,,,,,,,,,
Team member,,,&Aacute;ngel Ortiz S&aacute;nchez,"Director-General for Telecommunications and Information Society Policy. &Aacute;ngel Ortiz S&aacute;nchez (Almer&iacute;a, 1976) holds a degree in Economics and Business Administration from the University of Almer&iacute;a and MBA from Florida International University (USA). He is Director-General for Telecommunication and Information Society in the Regional Ministry of Economy, Innovation, Science and Employment of the Government of Andaluc&iacute;a. Previously, he held the positions of Director of Quality in the Services for Employment in the former Regional Ministry of Employment; Coordinator of the Office of Reimbursable Support Funds for Andaluc&iacute;a; and Responsible of the Support Fund for the Internationalization of Andaluc&iacute;a's Economy, in the Trade Promotion Agency of Andalusia (Extenda). In the private sector, Ortiz S&aacute;nchez was Director of Operations in &Iacute;bero Credit and corporate credit analyst in Cristal Credit International LLC, both in Miami (USA).",,,,,,,,,,,,,,,,,,
Team member,,,Ignacio Ochoa Mendoza,"Director of Government and Businesses for the Southern Region. Ignacio is a telecommunications engineer who graduated from the Economics / Business Administration department. He is currently Director of Government and Businesses for the South Region at Telef&oacute;nica Espa&ntilde;a. He has previous experience in the telecommunications industry in the US, South America and the UK.",,,,,,,,,,,,,,,,,,
Team member,,,,,,,,,,,,,,,,,,,,,,
Team member,,,,,,,,,,,,,,,,,,,,,,
Team member,,,,,,,,,,,,,,,,,,,,,,
Team member,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,
This data will be displayed on the REAP website on your regional dashboard. ,,,,,,,,,,,,,,,,,,,,,,
"In column U, please indicate whether the data refers to the region or the country",,,,,,,,,,,,,,,,,,,,,,
Please fil in the missing data to the best of your ability with region-specifc data (not country data) - save as a separate file and save in dropbox folder,,,,,,,,,,,,,,,,,,,,,,
Please provide data for as many years as possible,,,,,,,,,,,,,,,,,,,,,,
REAP Index to be calculated by MIT team (data to be collected is outlined in the following tab- REAP Index) ,,,,,,,,,,,,,,,,,,,,,,
Please include a data source in columns V and W,,,,,,,,,,,,,,,,,,,,,,
Please add custom metrics that you would like to display on the dashboard to rows 20+,,,,,,,,,,,,,,,,,,,,,,
Please note that the 2nd section below the red line requires subjective information that should be produced by the REAP team,,,,,,,,,,,,,,,,,,,,,,
Rename this spreadsheet as your region name,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
