LARGE TITLE,METRIC DESCRIPTION,Additional notes e.g. units,,,,,,,,,,,,,,DATA SOURCE,,,,,,
,,,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,Region/ Country,Name,URL,NOTE,,,,
Regional Entreprenur,,,,,,,,,,,,,,,,,,,,,,
Regional Entreprenur,,,,,,,,,,,,,,,,,,,,,,
PPI (Programmatic & policy interventions),,,,,,,,,,,,,,,,,,,,,,
Name of existing icap PPI in region,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
Name of existing icap PPI in region,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
Name of existing icap PPI in region,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
Name of existing icap PPI in region,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
Name of existing ecap PPI in region,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
Name of existing ecap PPI in region,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
Name of existing ecap PPI in region,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
REAP Initiative,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
REAP Initiative,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
REAP initiative,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
Team members basic info,You can add additional rows if required,,,,,,,,,,,,,,,,,,,,,
Team member - entrepreneur,,,Satoshi Ohara,"Managing Director, Sigmaxyz, Inc.Satoshi Ohara is a Managing Director at Sigmaxyz, Inc., the consulting firm newly established as a JV of Mitsubishi Corp. and RHJI (private equity).  He has been supervising the strategy service practice and acting as a key member of executive board of Sigmaxyz.He has 22 years experience in consulting and has advised clients in a wide range of industries including consumer products, healthcare, chemicals, automotive, ICT, energy and financial services.He has recently been focusing on support on growth initiatives of the Japanese companies and interested in a new alliance scheme to co-work with them for incubating businesses beyond providing traditional consulting approach.",satoshi-o.jpg,,,,,,,,,,,,,,,,,
Team member - university,,,Iris Wieczorek,"Director, TUS Innovation.Iris Wieczorek is the president of IRIS Science Management Inc., a Tokyo-based consulting firm specialized in research management, policy advice, and support for ""International Relations In Science"". At the Tokyo University of Science (TUS) she is acting as advisor to the Chairman and holding the position of ""Director of TUS Innovation"". She studied Japanese and Chinese Studies, and Computer Science and holds a doctoral degree from the University of Hamburg, Germany. She has over 25 years of Japan experience, and a broad knowledge about the academic and scientific systems in Europe and Japan. In 2000, she joined the GIGA Institute of Asian Studies in Hamburg, a member institute of the Leibniz Association, where she has been working on comparative assessment of the Japanese research and innovation system. In 2008, she established the Japan Office of the German Research Foundation (DFG) in Tokyo, and acted as its director until 2012. Subsequently, she founded IRIS Science Management Inc.. She retains a research position with the GIGA and is representing the Leibniz Association in Japan. Moreover, she is member of various committees, e.g. the ""National Research and Development Agency Committee"" of the Japanese Ministry of Education, Culture, Sports, Science and Technology (MEXT).",iris-w.jpg,,,,,,,,,,,,,,,,,
Team member - university,,,Seiichiro Hangai,"Director, Professor, Tokyo University of Science.Seiichiro Hangai is the director and the professor of Tokyo University of Science (TUS). His role as the director is ""Internationalization"" of education and management in TUS.His interest is to start up entrepreneurship in TUS and making Ecosystem.He is a professor of electrical engineering and interested in Biometrics which is one of human centered researches. Signature verification and Voice verification using smart phone are his research subjects. He is a member of ISO/IEC JTC1 SC37 WG3, biometric data format.",seiichiro-h.jpg,,,,,,,,,,,,,,,,,
Team member - corporate,,,Hiroto Tsuge,"Manager, Corporate Planning and Business Development Office, Fujitsu Limited.Hiroto Tsuge is a manager of Corporate Planning and Business Development Office, Fujitsu Limited.   His major responsibility in Fujitsu is to manage its corporate venture capital.  Before he joined Fujitsu Limited, he served as an analyst in Japan External Trade Organization and an economist for Asian developing countries in KRI International Corporation. Through MIT REAP, in order to accelerate open innovation activities, He will look for and try to establish a better collaboration scheme of the company with internal and external stakeholders.",hiroto-t.jpg,,,,,,,,,,,,,,,,,
Team member - risk capital,,,Jun Tsusaka,"Managing partner, CEO-CIO, Founding Member, Nippon Sangyo Suishin Kiko Ltd.Jun Tsusaka is the Managing Partner, Chief Investment Officer and Founding Member of NSSK.  Prior to the formation of NSSK, He was a global Partner of TPG and a Managing Director and Representative of TPG Capital Japan, K.K.  He was also a member of the Global Investment Review Committee, the Asian Investment Review Committee and member of the Global Partner Selection Committee.   He started his career at Merrill Lynch in Tokyo in 1983 and after two years in the Investment Banking Division, he was promoted to the Head of the Interest Rate and Currency Swap Group in Asia.  After attending Harvard Business School, Jun Tsusaka joined Goldman, Sachs & Co. (""Goldman Sachs"") in New York, where he worked in various senior positions in the Mergers & Acquisitions Department.  After seven years at Goldman he left his position as Vice President and Executive Director to establish and head a family office managing over $5 billion worth of investment assets for the Jan Stenbeck family (the ""Stenbeck Family""), who were clients of Goldman. He also served in an operations capacity as Senior Executive Vice President and Executive Director of Millicom International Cellular S.A., a NASDAQ-listed global telecommunications company and Chairman and CEO of GAB Robins, a privately-held leading company in global insurance risk management services.  He currently serves on the boards of directors at US Mart Corporation and Joint Corporation and the Harvard Club of Japan.  He is also a member of the Keizai Doyukai.He graduated with a Bachelor's Degree from Harvard College where he graduated with Honors and has a Master of Business Administration from Harvard Business School where he graduated with Distinction.",jun-t.jpg,,,,,,,,,,,,,,,,,
Team member - government,,,,,,,,,,,,,,,,,,,,,,
Team member - champion,,,,,,,,,,,,,,,,,,,,,,
Team member - corporate,,,Terumi Chikama,"Chairman & President, FUJITSU UNIVERSITY._ Terumi Chikama is the chairman and President of FUJITSU University.  He joind Fujitsu in 1982 as a researcher of  optical communication systems. In 2000 he moved to busienss division , and took the lead in developing cutting-edge products and managing  the  network business  as a corprate senior vice president.  Currently he is engaged in human resource development to nurture leaders for accelerating innovation and globalization of Fujitsu.",terumi-c.jpg,,,,,,,,,,,,,,,,,
Team member,,,,,,,,,,,,,,,,,,,,,,
Team member,,,,,,,,,,,,,,,,,,,,,,
Team member,,,,,,,,,,,,,,,,,,,,,,
Team member,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,
This data will be displayed on the REAP website on your regional dashboard. ,,,,,,,,,,,,,,,,,,,,,,
"In column U, please indicate whether the data refers to the region or the country",,,,,,,,,,,,,,,,,,,,,,
Please fil in the missing data to the best of your ability with region-specifc data (not country data) - save as a separate file and save in dropbox folder,,,,,,,,,,,,,,,,,,,,,,
Please provide data for as many years as possible,,,,,,,,,,,,,,,,,,,,,,
REAP Index to be calculated by MIT team (data to be collected is outlined in the following tab- REAP Index) ,,,,,,,,,,,,,,,,,,,,,,
Please include a data source in columns V and W,,,,,,,,,,,,,,,,,,,,,,
Please add custom metrics that you would like to display on the dashboard to rows 20+,,,,,,,,,,,,,,,,,,,,,,
Please note that the 2nd section below the red line requires subjective information that should be produced by the REAP team,,,,,,,,,,,,,,,,,,,,,,
Rename this spreadsheet as your region name,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
