LARGE TITLE,METRIC DESCRIPTION,Additional notes e.g. units,,,,,,,,,,,,,,,,,DATA SOURCE,,,
,Doctoral Graduation Rates/year,"Graduation rates at doctorate level, As a percentage of population in the reference age cohort",,,,,,,,,,,,,,,,,,,,
,Number of  health-related graduates/year,,,,,,,,,,,,,,,,,,,,,
,Number of  high-tech jobs created/ year ,,,,,,,,,,,,,,,,,,,,,
,Total Employment/ year,Person in Millions,72.8,71.5,72.4,72.3,73,73.6,74.4,75.3,75.7,75.7,75.5,75.8,75.7,75.5,,Russia,OECD,http://stats.oecd.org/,stats.oecd.org > Labout > Labour Force Statistics > Annual Labour Force Statistics > Population and Labour Force,
,Employment by foreign-owned firms/ year ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
LARGE TITLE,METRIC DESCRIPTION,Additional Notes e.g. units,Value (e.g. name or figure),Additional Value (e.g. url or description),Additional Value (e.g. url or description),Additional Value (e.g. url or description),,,,,,,,,,,,,DATA SOURCE,,,
,,,,,,,,,,,,,,,,,,Region/ Country,Name,URL,NOTE,
Region Name,Name of region,,"Moscow, Russia",,,,,,,,,,,,,,,,,,,
Region Description,Description of Current Regional Entrepreneurial Ecosystem,,,,,,,,,,,,,,,,,,,,,
,Land Area,sq km,,,,,,,,,,,,,,,,,,,,
Must Win Battle,"Regional MIT REAP ""Must Win Battle""",As defined by reap team,,,,,,,,,,,,,,,,,,,,
Clusters,Top 3 industry clusters,,,,,,,,,,,,,,,,,,,,,
Industry cluster,,,,,,,,,,,,,,,,,,,,,,
Industry cluster,,,,,,,,,,,,,,,,,,,,,,
Industry cluster,,,,,,,,,,,,,,,,,,,,,,
iCapacity Infrastructure,Top 3 research institutions - include URL of logo/photos and URL of website,,,,,,,,,,,,,,,,,,,,,
Research institute,,,,,,,,,,,,,,,,,,,,,,
Research institute,,,,,,,,,,,,,,,,,,,,,,
Research institute,,,,,,,,,,,,,,,,,,,,,,
iCapacity Incentives,Celebrated Regional Innovation - include URL of logo and URL of website,"As defined by reap team- 1 from the past, 1 recent",,,,,,,,,,,,,,,,,,,,
Regional innovation,,,,,,,,,,,,,,,,,,,,,,
Regional innovation,,,,,,,,,,,,,,,,,,,,,,
Regional innovation,,,,,,,,,,,,,,,,,,,,,,
eCapacity Infrastructure,"Top 3 business parks, innovation hubs or accelerators - include URL of logo and URL of website",,,,,,,,,,,,,,,,,,,,,
"Business park, innovation hub or accelerator",,,,,,,,,,,,,,,,,,,,,,
"Business park, innovation hub or accelerator",,,,,,,,,,,,,,,,,,,,,,
"Business park, innovation hub or accelerator",,,,,,,,,,,,,,,,,,,,,,
eCapacity Incentives,Celebrated Regional Entrepreneur - include URL of photo,,,,,,,,,,,,,,,,,,,,,
Regional Entreprenur,,,,,,,,,,,,,,,,,,,,,,
Regional Entreprenur,,,,,,,,,,,,,,,,,,,,,,
Regional Entreprenur,,,,,,,,,,,,,,,,,,,,,,
PPI (Programmatic & policy interventions),,,,,,,,,,,,,,,,,,,,,,
Name of existing icap PPI in region,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
Name of existing icap PPI in region,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
Name of existing icap PPI in region,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
Name of existing ecap PPI in region,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
Name of existing ecap PPI in region,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
Name of existing ecap PPI in region,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
REAP Initiative,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
REAP Initiative,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
REAP initiative,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
Team members basic info,You can add additional rows if required,,,,,,,,,,,,,,,,,,,,,
Team member - university,,,Dmitry Peskov,"Director, Agency for Strategic Initiatives.For 8 years, Dmitry was the Director of the Centre for Internet Policy in the MGIMO University in Moscow and the Director of the Innovation Program at the university. In 2008, he created the project group ""Metaver"", focusing on combining education and venture economy. Since 2011, he has been the Director of the Agency for Strategic Initiatives, which is aimed at the development of the Russian higher education system.",dmitry.jpg,,,,,,,,,,,,,,,,,
