LARGE TITLE,METRIC DESCRIPTION,Additional notes e.g. units,,,,,,,,,,,,,,DATA SOURCE,,,,,,
,,,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,Region/ Country,Name,URL,NOTE,,,,
iCapacity Policy,Intellectual Property Protection Ranking (1-7),,,,,,,,,,,,,,,,,,,,,
iCapacity Demand,GDP/capita,"GDP per capita, US$ current PPP, current prices",4586.811203,5855.53866,7117.322711,7727.272405,9309.509482,10382.31817,8623.949625,10111.51771,10584.16396,10646.03553,10975.07493,10529.56987,Turkey,World Bank - WDI,http://databank.worldbank.org/data/,"Select Databases > World Development Indicators > then for the ""Series"", select ""GDP per capita (current US$)""",,,,
eCapacity Performance,Number of S & C corps incorporated/year,,,,,,,,,,,,,,,,,,,,,
eCapacity People*,Total Early Stage Entrepreneurship, Percentage of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business,,,,,,,,,,,,,,,,,,,,
eCap Funding,Venture Capital Investments in Region/year,Million USD,5,,6.93,90,13.5,3245.84,,,17.5,75.15,252,,Turkey,VentureXpert,www.venturexpert.com/,,,,,
eCapacity Policy,Number of days to start a business,,39,7,7,7,7,7,7,7,7,7,7,7.5,Turkey,World Bank - WDI,http://databank.worldbank.org/data/,"Select Databases > World Development Indicators > then for the ""Series"", select ""Time required to start a business days)""",,,,
eCapacity Demand,GDP/capita,"GDP per capita, US$ current PPP, current prices",4586.811203,5855.53866,7117.322711,7727.272405,9309.509482,10382.31817,8623.949625,10111.51771,10584.16396,10646.03553,10975.07493,10529.56987,Turkey,World Bank - WDI,http://databank.worldbank.org/data/,"Select Databases > World Development Indicators > then for the ""Series"", select ""GDP per capita (current US$)""",,,,
Custom Metrics,Number of New University Spin Offs/ year,,,,,,,,,,,,,,,,,,,,,
,Dollars Invested in University Startups (USD)/year,,,,,,,,,,,,,,,,,,,,,
,Doctoral Graduation Rates/year,"Graduation rates at doctorate level, As a percentage of population in the reference age cohort",,,,,,,,,,,,,,,,,,,,
,Number of  health-related graduates/year,,,,,,,,,,,,,,,,,,,,,
,Number of  high-tech jobs created/ year ,,,,,,,,,,,,,,,,,,,,,
,Total Employment/ year,Person in Millions,,19631863,20066363,20433200,20749800,21193000,21270700,22592700,24099300,24819300,25519800,,Turkey,OECD,http://stats.oecd.org/,,,,,
,Employment by foreign-owned firms/ year ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
LARGE TITLE,METRIC DESCRIPTION,Additional Notes e.g. units,Value (e.g. name or figure),Additional Value (e.g. url or description),Additional Value (e.g. url or description),Additional Value (e.g. url or description),,,,,,,,,,,,,DATA SOURCE,,,
,,,,,,,,,,,,,,,,,,Region/ Country,Name,URL,NOTE,
Region Name,Name of region,,"Istanbul, Turkey",,,,,,,,,,,,,,,,,,,
Region Description,Description of Current Regional Entrepreneurial Ecosystem,,,,,,,,,,,,,,,,,,,,,
,Land Area,sq km,,,,,,,,,,,,,,,,,,,,
Must Win Battle,"Regional MIT REAP ""Must Win Battle""",As defined by reap team,Istanbul aims to become an innovation-hub.,,,,,,,,,,,,,,,,,,,
Clusters,Top 3 industry clusters,,,,,,,,,,,,,,,,,,,,,
Industry cluster,,,,,,,,,,,,,,,,,,,,,,
Industry cluster,,,,,,,,,,,,,,,,,,,,,,
Industry cluster,,,,,,,,,,,,,,,,,,,,,,
iCapacity Infrastructure,Top 3 research institutions - include URL of logo/photos and URL of website,,,,,,,,,,,,,,,,,,,,,
Research institute,,,,,,,,,,,,,,,,,,,,,,
Research institute,,,,,,,,,,,,,,,,,,,,,,
Research institute,,,,,,,,,,,,,,,,,,,,,,
iCapacity Incentives,Celebrated Regional Innovation - include URL of logo and URL of website,"As defined by reap team- 1 from the past, 1 recent",,,,,,,,,,,,,,,,,,,,
Regional innovation,,,,,,,,,,,,,,,,,,,,,,
Regional innovation,,,,,,,,,,,,,,,,,,,,,,
Regional innovation,,,,,,,,,,,,,,,,,,,,,,
eCapacity Infrastructure,"Top 3 business parks, innovation hubs or accelerators - include URL of logo and URL of website",,,,,,,,,,,,,,,,,,,,,
"Business park, innovation hub or accelerator",,,,,,,,,,,,,,,,,,,,,,
"Business park, innovation hub or accelerator",,,,,,,,,,,,,,,,,,,,,,
"Business park, innovation hub or accelerator",,,,,,,,,,,,,,,,,,,,,,
eCapacity Incentives,Celebrated Regional Entrepreneur - include URL of photo,,,,,,,,,,,,,,,,,,,,,
Regional Entreprenur,,,,,,,,,,,,,,,,,,,,,,
Regional Entreprenur,,,,,,,,,,,,,,,,,,,,,,
Regional Entreprenur,,,,,,,,,,,,,,,,,,,,,,
PPI (Programmatic & policy interventions),,,,,,,,,,,,,,,,,,,,,,
Name of existing icap PPI in region,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
Name of existing icap PPI in region,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
Name of existing icap PPI in region,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
Name of existing ecap PPI in region,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
Name of existing ecap PPI in region,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
Name of existing ecap PPI in region,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
REAP Initiative,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
REAP Initiative,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
REAP initiative,,"Name of initative, description/success story  + website link ",,,,,,,,,,,,,,,,,,,,
Team members basic info,You can add additional rows if required,,,,,,,,,,,,,,,,,,,,,
Team member,,,Dilek Cetindamar,"Professor. She received her B. S. degree from Industrial Engineering Department at Bogazi&ccedil;i University, her M.A degree from Economics Department at BU, and her Ph.D. degree from Management Department at Istanbul Technical University in 1995. Before her appointment to the Faculty of Management at Sabanci University in 1999, she worked at: Bogazi&ccedil;i University, Case Western Reserve University (USA), Portland State University (USA), and Chalmers University of Technology (Sweden). She was at Cambridge University, UK as a visiting professor in 2008. She participated in many international projects, including UN and EU projects. She has more than 50 publications, including 8 books. She received an &#39;encouragement award&#39; from Turkish Academy of Sciences in 2003.",,,,,,,,,,,,,,,,,,
Team member,,,Berna Samiloglu Acar,Director - New Businesses &amp; Entrepreneurship - Turkcell.,,,,,,,,,,,,,,,,,,
Team member,,,Ihsan Elgin,"Director, Fit Startup Factory (tech business accelerator). After graduating from Dokuz Eyl&uuml;l University with a degree in Economics, Elgin took on several corporate entrepreneurial roles in a variety of companies for 8 years. While pursuing his career, he graduated from Ko&ccedil; University's Executive MBA Program. After that he joined the executive team of Kodalfa, Inc., a newly formed Turkish start-up company. Kodalfa was recognized as one of the seven most high impact entrepreneurial companies in Turkey by Endeavor in 2008 and started to operate in the United States under the Climate Minder Group, where Elgin was a co-founder. They sold Climate Minder to one of the biggest irrigation company in the US at the end of 2012. Ihsan Elgin is currently Executive Director of the Center for Entrepreneurship at &Ouml;zyegin University to design and manage a Venture Accelerator - Fit Startup Factory - for techno startups to commercialize innovative ideas. Elgin gives the lectures of 'Access to Capital' , 'Business Model Generation' and consults corporates about innovation management and entrepreneurship. Ihsan Elgin also invests in seed stage startups as an Angel Investor.",,,,,,,,,,,,,,,,,,
Team member,,,Ussal Sahbaz,Private Sector Development Specialist.,,,,,,,,,,,,,,,,,,
Team member,,,Alaaddin Alpay,"Developer Community Manager, Partners &amp; Alliances Department at Turkcell. Alaaddin received a BS from Istanbul&#39;s Yildiz Technical University in mechanical engineering with a focus in automotive engineering. He later earned his MBA with a focus in management and marketing from the State University of West Georgia in Carrollton, Georgia. Alaaddin joined the team at Turkcell, the leading mobile phone operator in Turkey, over 12 years ago, and has worked in a number of different roles: Strategic Business Development Expert for the CEO Office: Mid to long-term business development and investment focus; Product Strategy Expert for the Marketing Department: Short to mid-term strategic product and service development; Business Development Expert for the Value Added Services Department: New/Innovative product and service development and launch; Head of Emerging Partner Services Development for the Partnering Department: New product and services in emerging areas from partner ecosystem; Head of Innovation Governance for the Partnering Department: Internal and external product and service development process management, building an innovation network for company, organizing and running business plan and innovation competitions, strategic partner ecosystem management (universities, technopolis, NGOs, public institutions); Head of Entrepreneurship for the New Business Development Department: Utilization of external community power for development of new product and services, community building and management, organizing entrepreneurship focused events, seminars, strategic partner ecosystem management (universities, technopolis, NGOs, public institutions, investor community ranging from angels, angel groups to VCs); Head of Developer Community Management for the Partners &amp; Alliances Department (current): Building an evangelist network to connect developers ranging from university programming students and freelance developers to software development houses and corporate IT professionals. Encouraging these communities to partner with Turkcell to develop new products, services, and applications. Empowering these communities usingTurkcell’s assets such as customer databases, marketing and communication channels, marketing and technology know-how, innovation network, and so on.",,,,,,,,,,,,,,,,,,
Team member,,,Ahmet Murat Fis,"Assistant Professor of Entrepreneurship at Ozyegin University. Dr. Ahmet Murat Fis got his BA degree in Bogazici University, Istanbul, Turkey and MBA degree in Oklahoma State University, Stillwater, USA. After his MBA, he worked for industry with various responsibilities in various departments such as the Office of the President, Human Resources, Quality, and Information Systems. After seven years of industry experience in which he also attended a two year Management Trainee Program, he began the PhD Program at Sabanci University, Istanbul, Turkey. He got his PhD degree in January, 2009. Besides some teaching experience as a research assistant, he has presented several papers and posters in various local and international conferences. His research interests focus on corporate entrepreneurship, entrepreneurship, and TQM in general. He also serves as assessor/chief assessor for Kalder in the Turkish National Quality Award since 1999.",,,,,,,,,,,,,,,,,,
Team member,,,,,,,,,,,,,,,,,,,,,,
Team member,,,,,,,,,,,,,,,,,,,,,,
Team member,,,,,,,,,,,,,,,,,,,,,,
Team member,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,
This data will be displayed on the REAP website on your regional dashboard. ,,,,,,,,,,,,,,,,,,,,,,
"In column U, please indicate whether the data refers to the region or the country",,,,,,,,,,,,,,,,,,,,,,
Please fil in the missing data to the best of your ability with region-specifc data (not country data) - save as a separate file and save in dropbox folder,,,,,,,,,,,,,,,,,,,,,,
Please provide data for as many years as possible,,,,,,,,,,,,,,,,,,,,,,
REAP Index to be calculated by MIT team (data to be collected is outlined in the following tab- REAP Index) ,,,,,,,,,,,,,,,,,,,,,,
Please include a data source in columns V and W,,,,,,,,,,,,,,,,,,,,,,
Please add custom metrics that you would like to display on the dashboard to rows 20+,,,,,,,,,,,,,,,,,,,,,,
Please note that the 2nd section below the red line requires subjective information that should be produced by the REAP team,,,,,,,,,,,,,,,,,,,,,,
Rename this spreadsheet as your region name,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
